,name,price,store,image,story,category,location,vegan
30,philadelphia cream cheese 340 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829484/6236c01a-38c5-11ec-b38e-0efae983d694/medium,save up to $2.50,meat,Kingston,FALSE
31,puck thickened creamy 23% 170 g,$1.29,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/664425d0-38c5-11ec-8ea5-0ec6e2beadde/medium,save 70¢,meat,Kingston,FALSE
32,the laughing cow 24 pk babybel 12 pk boursin 250 g,$6.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788957/1635861869/large.jpg,save up to $1.50,meat,Kingston,FALSE
33,iögo nanö drinkables 6 pk,$2.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/679090c2-38c5-11ec-b743-0efae983d694/medium,save 80¢,meat,Kingston,FALSE
34,annie's organic snacks 115-213 g,$3.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/6a10790c-38c5-11ec-b743-0efae983d694/medium,save up to $1.20,meat,Kingston,FALSE
35,barilla pasta 410-454 g,4/ $5.00 or $1.25,FreshCo,https://cdn.flippenterprise.net/page_items/240788966/1635861868/large.jpg,save $2.96 on 4,meat,Kingston,FALSE
36,ben's original bistro express 170-250 g,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829492/6a0b8a46-38c5-11ec-b743-0efae983d694/medium,save 80¢,meat,Kingston,FALSE
37,bertolli extra virgin olive oil 750 ml-1 l,$7.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/670fd02c-38c5-11ec-b137-0ec6e2beadde/medium,save $3,meat,Kingston,FALSE
38,"best buy chicken breaded chicken strips, nuggets or burgers frozen 1.4 kg",$10.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6bfde790-38c5-11ec-bb2e-0efae983d694/medium,,meat,Kingston,FALSE
39,chef boyardee pasta 411-425 g,4/ $5.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/684d195e-38c5-11ec-8ea5-0ec6e2beadde/medium,save up to $1.36 on 4,meat,Kingston,FALSE
40,christie good thins gluten free crackers 100 g,$2.79,FreshCo,https://cdn.flippenterprise.net/page_items/240788872/1635861866/large.jpg,save 50¢,meat,Kingston,FALSE
