,item,category,name,price,store,image,story,vegan,foods,real_price,location
24,bananas,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115136/1636542213/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
25,nectarines,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115136/1636542213/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
26,frozen fruit,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_pdf_images/12839268/4627e0bc-3b17-11ec-8cb5-0edc53c25ee6/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
27,mushrooms,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_pdf_images/12821749/44360000-37f6-11ec-94ea-0edc53c25ee6/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
28,mangoes,produce,Coconuts red mangoes,$0.97,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12871459/d2136b40-3de3-11ec-a32a-0ec6e2beadde/medium,,FALSE,['mangoes'],0.97,Kingston
29,radishes,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115136/1636542213/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
30,ginger,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115136/1636542213/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
31,garlic,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115136/1636542213/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
32,spinach,produce,340 g mint carrots,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_pdf_images/12829137/581e9f90-38bf-11ec-a821-0edc53c25ee6/medium,,FALSE,"['avocados', 'cilantro', 'broccoli', 'cantaloupes', 'cauliflower', 'potatoes', 'mandarins', 'apples', 'cucumbers', 'cabbages', 'jalapeños', 'lemons', 'blueberries', 'tangelos', 'grapefruits', 'raspberries', 'blackberries', 'strawberries', 'yams', 'dates', 'pineapples', 'peppers', 'pears', 'celery', 'mangoes', 'watermelons', 'asparagus', 'bananas', 'peaches', 'plums', 'limes', 'nectarines', 'frozen fruit', 'mushrooms', 'carrots', 'ginger', 'garlic', 'radishes', 'spinach']",0.97,Kingston
33,mango,other,Mango,$0.97,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/241115135/1636553935/medium,,FALSE,['mango'],0.97,Kingston
